,Gene.ID,log2FoldChange,padj,Condition,Gene.Name,gbkey,locus_tag,old_locus_tag,Biotype
90,SO_RS04365,0.393553244,0.000240907,LB_1_logFC,tkt,Gene,SO_RS04365,SO_0930,protein_coding
91,SO_RS02800,0.476267237,0.00026442,LB_1_logFC,psd,Gene,SO_RS02800,SO_0590,protein_coding
92,SO_RS07710,0.433919144,0.00026442,LB_1_logFC,maiA,Gene,SO_RS07710,SO_1671,protein_coding
93,SO_RS17575,0.419935463,0.00026442,LB_1_logFC,SO_RS17575,Gene,SO_RS17575,SO_3771,protein_coding
94,SO_RS18155,-0.319488001,0.000272932,LB_1_logFC,SO_RS18155,Gene,SO_RS18155,SO_3900,protein_coding
95,SO_RS22865,-0.389859931,0.000272932,LB_1_logFC,SO_RS22865,Gene,SO_RS22865,SO_A0158,protein_coding
96,SO_RS08490,0.592373741,0.000275355,LB_1_logFC,SO_RS08490,Gene,SO_RS08490,SO_1848,protein_coding
97,SO_RS22855,-0.350774206,0.000285059,LB_1_logFC,SO_RS22855,Gene,SO_RS22855,SO_A0156,protein_coding
98,SO_RS01660,0.405342025,0.000301473,LB_1_logFC,SO_RS01660,Gene,SO_RS01660,SO_0347,protein_coding
99,SO_RS13870,0.535818435,0.000301858,LB_1_logFC,Lambda_49_Cro,Gene,SO_RS13870,SO_2989,protein_coding
100,SO_RS16605,-0.374500403,0.000327074,LB_1_logFC,dauA,Gene,SO_RS16605,SO_3553,protein_coding
101,SO_RS12640,0.452616248,0.000341184,LB_1_logFC,bioB,Gene,SO_RS12640,SO_2740,protein_coding
102,SO_RS11360,0.450593322,0.000345932,LB_1_logFC,SO_RS11360,Gene,SO_RS11360,SO_2476,protein_coding
103,SO_RS16230,0.66211415,0.000345932,LB_1_logFC,SO_RS16230,Gene,SO_RS16230,SO_3471,protein_coding
104,SO_RS22205,0.684348616,0.000348307,LB_1_logFC,umuD,Gene,SO_RS22205,SO_A0013,protein_coding
105,SO_RS18160,-0.338994322,0.000370623,LB_1_logFC,cpdA,Gene,SO_RS18160,SO_3901,protein_coding
106,SO_RS13950,1.150496549,0.000375355,LB_1_logFC,Lambda_66,Gene,SO_RS13950,SO_3008,protein_coding
107,SO_RS07515,0.282014274,0.000395547,LB_1_logFC,map,Gene,SO_RS07515,SO_1627,protein_coding
108,SO_RS01625,0.355707265,0.00042839,LB_1_logFC,SO_RS01625,Gene,SO_RS01625,SO_0340,protein_coding
109,SO_RS16720,-0.258462292,0.00042839,LB_1_logFC,pgeF,Gene,SO_RS16720,SO_3578,protein_coding
110,SO_RS06100,0.508412047,0.000456887,LB_1_logFC,SO_RS06100,Gene,SO_RS06100,SO_1315,protein_coding
111,SO_RS16035,0.389328924,0.000490206,LB_1_logFC,mutS,Gene,SO_RS16035,SO_3431,protein_coding
112,SO_RS05260,0.343891022,0.000526018,LB_1_logFC,carA,Gene,SO_RS05260,SO_1141,protein_coding
113,SO_RS05390,0.532598144,0.000557058,LB_1_logFC,mrdA,Gene,SO_RS05390,SO_1168,protein_coding
114,SO_RS16025,0.490934368,0.000585196,LB_1_logFC,SO_RS16025,Gene,SO_RS16025,SO_3429,protein_coding
115,SO_RS12000,-0.332988908,0.000595288,LB_1_logFC,SO_RS12000,Gene,SO_RS12000,SO_4786,protein_coding
116,SO_RS00760,-0.286050567,0.000639239,LB_1_logFC,gspC,Gene,SO_RS00760,SO_0165,protein_coding
117,SO_RS06445,0.524289528,0.000639239,LB_1_logFC,SO_RS06445,Gene,SO_RS06445,SO_1388,protein_coding
118,SO_RS08005,0.505006692,0.000643993,LB_1_logFC,SO_RS08005,Gene,SO_RS08005,SO_1744,protein_coding
119,SO_RS11425,-0.243661176,0.000645594,LB_1_logFC,SO_RS11425,Gene,SO_RS11425,SO_2490,protein_coding
120,SO_RS18875,0.67395224,0.000645594,LB_1_logFC,SO_RS18875,Gene,SO_RS18875,SO_4066,protein_coding
121,SO_RS01745,0.406998697,0.000650264,LB_1_logFC,SO_RS01745,Gene,SO_RS01745,SO_0364,protein_coding
122,SO_RS03950,0.254140235,0.000680126,LB_1_logFC,SO_RS03950,Gene,SO_RS03950,SO_0842,protein_coding
123,SO_RS05525,0.398258812,0.000738723,LB_1_logFC,SO_RS05525,Gene,SO_RS05525,SO_1189,protein_coding
124,SO_RS16485,-0.301894069,0.000752981,LB_1_logFC,SO_RS16485,Gene,SO_RS16485,SO_3527,protein_coding
125,SO_RS03620,0.295597573,0.000755058,LB_1_logFC,argR,Gene,SO_RS03620,SO_0769,protein_coding
126,SO_RS08180,-0.234027356,0.000755058,LB_1_logFC,feoB,Gene,SO_RS08180,SO_1784,protein_coding
127,SO_RS04080,0.414286615,0.000763114,LB_1_logFC,SO_RS04080,Gene,SO_RS04080,SO_0869,protein_coding
128,SO_RS14720,0.293357602,0.000766564,LB_1_logFC,SO_RS14720,Gene,SO_RS14720,SO_3159,protein_coding
129,SO_RS10725,0.343159507,0.00079429,LB_1_logFC,SO_RS10725,Gene,SO_RS10725,SO_2339,protein_coding
130,SO_RS07425,0.289375292,0.000807641,LB_1_logFC,queF,Gene,SO_RS07425,SO_1608,protein_coding
131,SO_RS04950,0.258425326,0.000840542,LB_1_logFC,fkpA,Gene,SO_RS04950,SO_1065,protein_coding
132,SO_RS07990,0.394564947,0.000904821,LB_1_logFC,SO_RS07990,Gene,SO_RS07990,SO_1741,protein_coding
133,SO_RS15905,0.34512665,0.000922731,LB_1_logFC,SO_RS15905,Gene,SO_RS15905,SO_3411,protein_coding
134,SO_RS08185,0.198880266,0.000947298,LB_1_logFC,glnS,Gene,SO_RS08185,SO_1786,protein_coding
135,SO_RS21925,-0.317665597,0.000947298,LB_1_logFC,SO_RS21925,Gene,SO_RS21925,SO_4717,protein_coding
136,SO_RS01510,-0.698975991,0.000949222,LB_1_logFC,SO_RS01510,Gene,SO_RS01510,SO_4761,protein_coding
137,SO_RS03905,0.300212441,0.000949222,LB_1_logFC,gshB,Gene,SO_RS03905,SO_0831,protein_coding
138,SO_RS06290,-0.26674623,0.000952142,LB_1_logFC,ccsA,Gene,SO_RS06290,SO_1355,protein_coding
139,SO_RS06350,0.374415104,0.000962085,LB_1_logFC,SO_RS06350,Gene,SO_RS06350,SO_1367,protein_coding
140,SO_RS10580,0.233365682,0.001049646,LB_1_logFC,SO_RS10580,Gene,SO_RS10580,SO_2306,protein_coding
141,SO_RS00240,-0.358051269,0.001066508,LB_1_logFC,SO_RS00240,Gene,SO_RS00240,SO_0045,protein_coding
142,SO_RS14075,0.439815081,0.001069275,LB_1_logFC,SO_RS14075,Gene,SO_RS14075,SO_3036,protein_coding
143,SO_RS02340,-0.329250395,0.001084468,LB_1_logFC,SO_RS02340,Gene,SO_RS02340,SO_0490,protein_coding
144,SO_RS04095,0.307106191,0.001087707,LB_1_logFC,SO_RS04095,Gene,SO_RS04095,SO_0872,protein_coding
145,SO_RS17335,-0.564786579,0.001087707,LB_1_logFC,SO_RS17335,Gene,SO_RS17335,SO_3719,protein_coding
146,SO_RS00075,0.592892001,0.001098577,LB_1_logFC,glyQ,Gene,SO_RS00075,SO_0015,protein_coding
147,SO_RS08680,0.320030445,0.001134697,LB_1_logFC,SO_RS08680,Gene,SO_RS08680,SO_1878,protein_coding
148,SO_RS11550,-0.392899963,0.001134697,LB_1_logFC,rsxB,Gene,SO_RS11550,SO_2509,protein_coding
149,SO_RS21975,-0.239886469,0.001134697,LB_1_logFC,SO_RS21975,Gene,SO_RS21975,SO_4727,protein_coding
150,SO_RS11055,0.32562444,0.001146255,LB_1_logFC,gyrA,Gene,SO_RS11055,SO_2411,protein_coding
151,SO_RS15670,0.452591987,0.001173603,LB_1_logFC,SO_RS15670,Gene,SO_RS15670,SO_3361,protein_coding
152,SO_RS13835,0.520406136,0.001175649,LB_1_logFC,Lambda_43,Gene,SO_RS13835,SO_2982,protein_coding
153,SO_RS14965,-0.153421935,0.001185037,LB_1_logFC,SO_RS14965,Gene,SO_RS14965,SO_3208,protein_coding
154,SO_RS14945,-0.170198186,0.001199189,LB_1_logFC,SO_RS14945,Gene,SO_RS14945,SO_3204,protein_coding
155,SO_RS13510,-0.367800084,0.001219822,LB_1_logFC,SO_RS13510,Gene,SO_RS13510,SO_2914,protein_coding
156,SO_RS12750,0.32861045,0.001235709,LB_1_logFC,SO_RS12750,Gene,SO_RS12750,SO_2753,protein_coding
157,SO_RS13825,0.787826648,0.001276764,LB_1_logFC,Lambda_41,Gene,SO_RS13825,SO_2980,protein_coding
158,SO_RS11520,-0.428010659,0.001305643,LB_1_logFC,SO_RS11520,Gene,SO_RS11520,SO_t049,tRNA
159,SO_RS16800,0.449898424,0.001320074,LB_1_logFC,SO_RS16800,Gene,SO_RS16800,SO_3594,protein_coding
160,SO_RS09585,0.453456206,0.001372212,LB_1_logFC,pheS,Gene,SO_RS09585,SO_2085,protein_coding
161,SO_RS21260,0.515310239,0.001407999,LB_1_logFC,menE,Gene,SO_RS21260,SO_4576,protein_coding
162,SO_RS12490,0.148583133,0.001465403,LB_1_logFC,topA,Gene,SO_RS12490,SO_2705,protein_coding
163,SO_RS00025,0.589808688,0.001473792,LB_1_logFC,yidD,Gene,SO_RS00025,SO_0005,protein_coding
164,SO_RS06610,-0.560583003,0.001473792,LB_1_logFC,SO_RS06610,Gene,SO_RS06610,SO_1422,protein_coding
165,SO_RS13850,0.467198942,0.001473792,LB_1_logFC,Lambda_46_O,Gene,SO_RS13850,SO_2985,protein_coding
166,SO_RS19430,-0.248700614,0.001473792,LB_1_logFC,rraA,Gene,SO_RS19430,SO_4197,protein_coding
167,SO_RS02920,0.356041531,0.001490909,LB_1_logFC,SO_RS02920,Gene,SO_RS02920,SO_0614,protein_coding
168,SO_RS11555,0.222092547,0.001490909,LB_1_logFC,rsxC,Gene,SO_RS11555,SO_2510,protein_coding
169,SO_RS12730,0.191634633,0.001490909,LB_1_logFC,tolA,Gene,SO_RS12730,SO_2749,protein_coding
170,SO_RS13905,0.74892927,0.001539569,LB_1_logFC,Lambda_56,Gene,SO_RS13905,SO_2997,protein_coding
171,SO_RS21760,0.283472183,0.001539569,LB_1_logFC,SO_RS21760,Gene,SO_RS21760,SO_4681,protein_coding
172,SO_RS13815,0.564769656,0.001560026,LB_1_logFC,Lambda_39,Gene,SO_RS13815,SO_2978,protein_coding
173,SO_RS06355,0.420046142,0.001571643,LB_1_logFC,pepA,Gene,SO_RS06355,SO_1368,protein_coding
174,SO_RS14570,-0.539171836,0.001607117,LB_1_logFC,SO_RS14570,Gene,SO_RS14570,SO_t073,tRNA
175,SO_RS04690,0.279748005,0.00162718,LB_1_logFC,SO_RS04690,Gene,SO_RS04690,SO_1004,protein_coding
176,SO_RS05830,-0.240690446,0.001654868,LB_1_logFC,SO_RS05830,Gene,SO_RS05830,SO_1255,protein_coding
177,SO_RS18900,0.67386249,0.001654868,LB_1_logFC,rimO,Gene,SO_RS18900,SO_4072,protein_coding
178,SO_RS01630,-0.239469795,0.001657471,LB_1_logFC,SO_RS01630,Gene,SO_RS01630,SO_0341,protein_coding
179,SO_RS17875,0.280254707,0.001657471,LB_1_logFC,SO_RS17875,Gene,SO_RS17875,SO_3837,protein_coding
180,SO_RS00795,-0.295139963,0.001679979,LB_1_logFC,gspJ,Gene,SO_RS00795,SO_0172,protein_coding
181,SO_RS10760,0.240013229,0.001712853,LB_1_logFC,SO_RS10760,Gene,SO_RS10760,SO_2347,protein_coding
182,SO_RS02260,-0.315169114,0.001834521,LB_1_logFC,SO_RS02260,Gene,SO_RS02260,SO_0472,protein_coding
183,SO_RS11150,0.689476938,0.001919192,LB_1_logFC,SO_RS11150,Gene,SO_RS11150,SO_2432,protein_coding
184,SO_RS21330,-0.29716948,0.001967775,LB_1_logFC,SO_RS21330,Gene,SO_RS21330,SO_4591,protein_coding
185,SO_RS05265,0.219396449,0.002045325,LB_1_logFC,carB,Gene,SO_RS05265,SO_1142,protein_coding
186,SO_RS17685,0.32756074,0.002045325,LB_1_logFC,SO_RS17685,Gene,SO_RS17685,SO_3797,protein_coding
187,SO_RS06615,0.321019467,0.002104407,LB_1_logFC,SO_RS06615,Gene,SO_RS06615,SO_1424,protein_coding
188,SO_RS05370,0.158060826,0.002247208,LB_1_logFC,SO_RS05370,Gene,SO_RS05370,SO_1164,protein_coding
189,SO_RS08675,0.375526017,0.002247208,LB_1_logFC,bcp,Gene,SO_RS08675,SO_1877,protein_coding
190,SO_RS09400,0.25980962,0.002265173,LB_1_logFC,rmuC,Gene,SO_RS09400,SO_2041,protein_coding
191,SO_RS14990,-0.237877791,0.002265173,LB_1_logFC,flhA,Gene,SO_RS14990,SO_3213,protein_coding
192,SO_RS01890,0.625732055,0.002301198,LB_1_logFC,fis,Gene,SO_RS01890,SO_0393,protein_coding
193,SO_RS16735,-0.530812072,0.002372649,LB_1_logFC,SO_RS16735,Gene,SO_RS16735,SO_t091,tRNA
194,SO_RS00750,0.564619343,0.002454221,LB_1_logFC,hslO,Gene,SO_RS00750,SO_0163,protein_coding
195,SO_RS11155,0.268070159,0.002454221,LB_1_logFC,aspS,Gene,SO_RS11155,SO_2433,protein_coding
196,SO_RS13120,-0.389626757,0.002454221,LB_1_logFC,nrdG,Gene,SO_RS13120,SO_2833,protein_coding
197,SO_RS16535,0.389884809,0.002559014,LB_1_logFC,SO_RS16535,Gene,SO_RS16535,SO_3539,protein_coding
198,SO_RS13805,0.802295463,0.002715332,LB_1_logFC,Lambda_37,Gene,SO_RS13805,SO_2976,protein_coding
199,SO_RS16200,0.190711416,0.002737648,LB_1_logFC,nusB,Gene,SO_RS16200,SO_3465,protein_coding
200,SO_RS05475,0.281743051,0.002827323,LB_1_logFC,ychF,Gene,SO_RS05475,SO_1185,protein_coding
201,SO_RS10685,0.312483578,0.002842351,LB_1_logFC,fldA,Gene,SO_RS10685,SO_2330,protein_coding
202,SO_RS10730,0.32478278,0.002871097,LB_1_logFC,SO_RS10730,Gene,SO_RS10730,SO_2340,protein_coding
203,SO_RS14310,-0.235058364,0.003046426,LB_1_logFC,SO_RS14310,Gene,SO_RS14310,SO_3084,protein_coding
204,SO_RS05185,0.343497883,0.003052553,LB_1_logFC,SO_RS05185,Gene,SO_RS05185,SO_1122,protein_coding
205,SO_RS16150,0.176955037,0.003095746,LB_1_logFC,relA,Gene,SO_RS16150,SO_3455,protein_coding
206,SO_RS04825,-0.254737081,0.003154846,LB_1_logFC,SO_RS04825,Gene,SO_RS04825,SO_1036,protein_coding
207,SO_RS19730,0.360387363,0.00316016,LB_1_logFC,pyrE,Gene,SO_RS19730,SO_4255,protein_coding
208,SO_RS20085,-0.457847198,0.00316016,LB_1_logFC,SO_RS20085,Gene,SO_RS20085,SO_t100,tRNA
209,SO_RS10720,0.326964869,0.003191235,LB_1_logFC,astE,Gene,SO_RS10720,SO_2338,protein_coding
210,SO_RS08830,-0.367996338,0.003330664,LB_1_logFC,SO_RS08830,Gene,SO_RS08830,SO_1911,protein_coding
211,SO_RS09195,-0.263341958,0.003428108,LB_1_logFC,SO_RS09195,Gene,SO_RS09195,SO_1990,protein_coding
212,SO_RS22065,0.270760261,0.003428108,LB_1_logFC,glmU,Gene,SO_RS22065,SO_4745,protein_coding
213,SO_RS14985,-0.211985298,0.003563076,LB_1_logFC,flhF,Gene,SO_RS14985,SO_3212,protein_coding
214,SO_RS15460,0.592235723,0.003693078,LB_1_logFC,trmG/rlmN,Gene,SO_RS15460,SO_3315,protein_coding
215,SO_RS15415,-0.399621289,0.003723455,LB_1_logFC,SO_RS15415,Gene,SO_RS15415,SO_3305,protein_coding
216,SO_RS03365,-0.359969409,0.003835816,LB_1_logFC,SO_RS03365,Gene,SO_RS03365,SO_0710,protein_coding
217,SO_RS22135,-0.218194225,0.003835816,LB_1_logFC,SO_RS22135,Gene,SO_RS22135,SO_A0001,protein_coding
218,SO_RS11385,0.442591642,0.004079885,LB_1_logFC,SO_RS11385,Gene,SO_RS11385,SO_2481,protein_coding
219,SO_RS18320,-0.202486408,0.004079885,LB_1_logFC,SO_RS18320,Gene,SO_RS18320,SO_3936,protein_coding
220,SO_RS19740,0.452683765,0.004079885,LB_1_logFC,SO_RS19740,Gene,SO_RS19740,SO_4257,protein_coding
221,SO_RS07740,0.325922957,0.004196384,LB_1_logFC,SO_RS07740,Gene,SO_RS07740,SO_1677,protein_coding
222,SO_RS11390,0.274452759,0.004295296,LB_1_logFC,SO_RS11390,Gene,SO_RS11390,SO_2483,protein_coding
223,SO_RS14940,-0.156010196,0.004295296,LB_1_logFC,SO_RS14940,Gene,SO_RS14940,SO_3203,protein_coding
224,SO_RS19725,0.569715676,0.004295296,LB_1_logFC,folE,Gene,SO_RS19725,SO_4254,protein_coding
