,Gene.ID,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,Condition,Chrom.ID,Source,Entry.Class,Start,Stop,B1,Strand,B2,Gene.Name,gbkey,Biotype,locus_tag,old_locus_tag,X,X.1,X.2
31,SO_RS14715,203.2322679,0.442675811,0.07835027,5.649958978,1.60E-08,2.10E-06,LB_1_logFC,NC_004347.2,RefSeq,gene,3294369,3295154,.,+,.,SO_RS14715,Gene,protein_coding,SO_RS14715,SO_3158,,,
32,SO_RS07705,298.2009412,0.486678183,0.086270307,5.641317394,1.69E-08,2.14E-06,LB_1_logFC,NC_004347.2,RefSeq,gene,1756840,1757826,.,+,.,SO_RS07705,Gene,protein_coding,SO_RS07705,SO_1670,,,
33,SO_RS09435,161.3736545,-0.325416089,0.057861845,-5.624018529,1.87E-08,2.30E-06,LB_1_logFC,NC_004347.2,RefSeq,gene,2147450,2149075,.,+,.,SO_RS09435,Gene,protein_coding,SO_RS09435,SO_2048,,,
34,SO_RS06250,149.2776063,0.503430194,0.090003962,5.593422563,2.23E-08,2.66E-06,LB_1_logFC,NC_004347.2,RefSeq,gene,1404010,1404927,.,+,.,lepB,Gene,protein_coding,SO_RS06250,SO_1347,,,
35,SO_RS04090,30.54214872,0.844928302,0.152720462,5.532515366,3.16E-08,3.66E-06,LB_1_logFC,NC_004347.2,RefSeq,gene,901020,901508,.,-,.,folK,Gene,protein_coding,SO_RS04090,SO_0871,,,
36,SO_RS12160,366.1141081,0.32332105,0.05948217,5.435596115,5.46E-08,6.16E-06,LB_1_logFC,NC_004347.2,RefSeq,gene,2773989,2775023,.,+,.,SO_RS12160,Gene,protein_coding,SO_RS12160,SO_2638,,,
37,SO_RS08175,228.6465906,-0.252280969,0.046887732,-5.380532579,7.43E-08,8.05E-06,LB_1_logFC,NC_004347.2,RefSeq,gene,1869645,1869884,.,+,.,SO_RS08175,Gene,protein_coding,SO_RS08175,SO_1783,,,
38,SO_RS20470,585.1051264,0.650041208,0.120868424,5.378089549,7.53E-08,8.05E-06,LB_1_logFC,NC_004347.2,RefSeq,gene,4600874,4602685,.,-,.,typA,Gene,protein_coding,SO_RS20470,SO_4408,,,
39,SO_RS02065,575.6952549,0.276738703,0.051590005,5.364192163,8.13E-08,8.47E-06,LB_1_logFC,NC_004347.2,RefSeq,gene,451967,454009,.,+,.,SO_RS02065,Gene,protein_coding,SO_RS02065,SO_0429,,,
40,SO_RS13340,292.7693781,-0.205288087,0.038844673,-5.284845311,1.26E-07,1.28E-05,LB_1_logFC,NC_004347.2,RefSeq,gene,2998247,2999329,.,-,.,SO_RS13340,Gene,protein_coding,SO_RS13340,SO_2878,,,
41,SO_RS08235,1876.830945,0.512846669,0.097366268,5.267190375,1.39E-07,1.37E-05,LB_1_logFC,NC_004347.2,RefSeq,gene,1880610,1881914,.,+,.,tig,Gene,protein_coding,SO_RS08235,SO_1793,,,
42,SO_RS08550,260.7867281,0.368786306,0.070112514,5.259921306,1.44E-07,1.39E-05,LB_1_logFC,NC_004347.2,RefSeq,gene,1947500,1948015,.,-,.,fabA,Gene,protein_coding,SO_RS08550,SO_1856,,,
43,SO_RS08260,1248.659948,0.309999485,0.059583185,5.20280154,1.96E-07,1.85E-05,LB_1_logFC,NC_004347.2,RefSeq,gene,1887241,1889106,.,+,.,ppiD,Gene,protein_coding,SO_RS08260,SO_1798,,,
44,SO_RS05690,49.77414008,0.692361238,0.13379012,5.174980339,2.28E-07,2.10E-05,LB_1_logFC,NC_004347.2,RefSeq,gene,1269580,1270572,.,+,.,serB,Gene,protein_coding,SO_RS05690,SO_1223,,,
45,SO_RS02040,1272.707136,0.54471161,0.106195271,5.129339617,2.91E-07,2.62E-05,LB_1_logFC,NC_004347.2,RefSeq,gene,438401,441067,.,+,.,aceE,Gene,protein_coding,SO_RS02040,SO_0424,,,
46,SO_RS03675,962.4784719,0.325584566,0.063569961,5.1216732,3.03E-07,2.67E-05,LB_1_logFC,NC_004347.2,RefSeq,gene,791897,792991,.,+,.,gcvT,Gene,protein_coding,SO_RS03675,SO_0779,,,
47,SO_RS14375,771.2446771,0.842172893,0.165038809,5.10287791,3.35E-07,2.89E-05,LB_1_logFC,NC_004347.2,RefSeq,gene,3225099,3226421,.,+,.,SO_RS14375,Gene,protein_coding,SO_RS14375,SO_3099,,,
48,SO_RS04160,135.8234415,0.419560666,0.082721365,5.071974662,3.94E-07,3.33E-05,LB_1_logFC,NC_004347.2,RefSeq,gene,913424,915337,.,-,.,SO_RS04160,Gene,protein_coding,SO_RS04160,SO_0885,,,
49,SO_RS03890,777.5377077,-0.319541148,0.063146993,-5.060274977,4.19E-07,3.47E-05,LB_1_logFC,NC_004347.2,RefSeq,gene,844169,845806,.,-,.,SO_RS03890,Gene,protein_coding,SO_RS03890,SO_0827,,,
50,SO_RS08270,763.0286446,0.307069316,0.060796587,5.050765678,4.40E-07,3.50E-05,LB_1_logFC,NC_004347.2,RefSeq,gene,1889874,1891076,.,-,.,SO_RS08270,Gene,protein_coding,SO_RS08270,SO_1800,,,
51,SO_RS10195,515.1894512,0.58066007,0.114923471,5.05258036,4.36E-07,3.50E-05,LB_1_logFC,NC_004347.2,RefSeq,gene,2332946,2334346,.,-,.,asnS,Gene,protein_coding,SO_RS10195,SO_2218,,,
52,SO_RS12605,399.6554516,0.319207633,0.06378906,5.004112494,5.61E-07,4.38E-05,LB_1_logFC,NC_004347.2,RefSeq,gene,2847166,2848752,.,+,.,SO_RS12605,Gene,protein_coding,SO_RS12605,SO_2731,,,
53,SO_RS11810,614.2792901,0.31892868,0.064036024,4.980457287,6.34E-07,4.86E-05,LB_1_logFC,NC_004347.2,RefSeq,gene,2693556,2695103,.,+,.,SO_RS11810,Gene,protein_coding,SO_RS11810,SO_2564,,,
54,SO_RS08050,992.5849064,0.359356537,0.072748947,4.939680279,7.83E-07,5.89E-05,LB_1_logFC,NC_004347.2,RefSeq,gene,1838152,1838535,.,+,.,SO_RS08050,Gene,protein_coding,SO_RS08050,SO_1756,,,
55,SO_RS06245,606.0641225,0.366609674,0.07464333,4.911486065,9.04E-07,6.56E-05,LB_1_logFC,NC_004347.2,RefSeq,gene,1402041,1403831,.,+,.,lepA,Gene,protein_coding,SO_RS06245,SO_1346,,,
56,SO_RS14080,125.8646032,0.491523409,0.100072054,4.911695013,9.03E-07,6.56E-05,LB_1_logFC,NC_004347.2,RefSeq,gene,3148551,3149363,.,+,.,xthA,Gene,protein_coding,SO_RS14080,SO_3037,,,
57,SO_RS22200,110.016907,0.652739589,0.133673292,4.883096521,1.04E-06,7.44E-05,LB_1_logFC,NC_004349.1,RefSeq,gene,10078,11334,.,-,.,umuC,Gene,protein_coding,SO_RS22200,SO_A0012,,,
58,SO_RS10220,423.7617178,0.574413251,0.117725549,4.879257338,1.06E-06,7.46E-05,LB_1_logFC,NC_004347.2,RefSeq,gene,2338818,2340869,.,+,.,SO_RS10220,Gene,protein_coding,SO_RS10220,SO_2223,,,
59,SO_RS05455,205.047296,0.91978126,0.188766922,4.872576451,1.10E-06,7.58E-05,LB_1_logFC,NC_004347.2,RefSeq,gene,1223880,1225304,.,-,.,miaB,Gene,protein_coding,SO_RS05455,SO_1181,,,
60,SO_RS13830,87.6850723,0.73370348,0.150703873,4.868511111,1.12E-06,7.61E-05,LB_1_logFC,NC_004347.2,RefSeq,gene,3109169,3109609,.,-,.,Lambda_42,Gene,protein_coding,SO_RS13830,SO_2981,,,
61,SO_RS10680,86.8822965,0.480910522,0.0993163,4.842211427,1.28E-06,8.41E-05,LB_1_logFC,NC_004347.2,RefSeq,gene,2438505,2439692,.,-,.,earP,Gene,protein_coding,SO_RS10680,SO_2329,,,
62,SO_RS12655,105.2870442,0.686368796,0.141660936,4.845152212,1.27E-06,8.41E-05,LB_1_logFC,NC_004347.2,RefSeq,gene,2861908,2863860,.,+,.,acs,Gene,protein_coding,SO_RS12655,SO_2743,,,
63,SO_RS14640,152.4829207,0.560103639,0.115827616,4.835665777,1.33E-06,8.56E-05,LB_1_logFC,NC_004347.2,RefSeq,gene,3276293,3278443,.,+,.,SO_RS14640,Gene,protein_coding,SO_RS14640,SO_3142,,,
64,SO_RS06015,173.2880913,-0.298022396,0.061675591,-4.832096331,1.35E-06,8.57E-05,LB_1_logFC,NC_004347.2,RefSeq,gene,1345724,1346974,.,-,.,SO_RS06015,Gene,protein_coding,SO_RS06015,SO_1296,,,
65,SO_RS13810,88.0134889,0.839435304,0.174185189,4.819211707,1.44E-06,9.01E-05,LB_1_logFC,NC_004347.2,RefSeq,gene,3106445,3106696,.,-,.,Lambda_38,Gene,protein_coding,SO_RS13810,SO_2977,,,
66,SO_RS14480,88.01605268,0.52113346,0.108259101,4.813761205,1.48E-06,9.12E-05,LB_1_logFC,NC_004347.2,RefSeq,gene,3247389,3248768,.,+,.,SO_RS14480,Gene,protein_coding,SO_RS14480,SO_3120,,,
67,SO_RS17905,595.131074,0.599167257,0.125341537,4.780276911,1.75E-06,0.00010613,LB_1_logFC,NC_004347.2,RefSeq,gene,3993110,3995194,.,+,.,SO_RS17905,Gene,protein_coding,SO_RS17905,SO_3844,,,
68,SO_RS13900,240.8423486,0.912393866,0.191106599,4.774266664,1.80E-06,0.000107741,LB_1_logFC,NC_004347.2,RefSeq,gene,3117009,3117245,.,+,.,Lambda_55,Gene,protein_coding,SO_RS13900,,,,
69,SO_RS21695,234.7609879,-0.256643975,0.053918218,-4.759874953,1.94E-06,0.000114038,LB_1_logFC,NC_004347.2,RefSeq,gene,4864119,4864778,.,+,.,SO_RS21695,Gene,protein_coding,SO_RS21695,SO_4667,,,
70,SO_RS14160,410.1639026,-0.188193301,0.039642847,-4.747219648,2.06E-06,0.000119673,LB_1_logFC,NC_004347.2,RefSeq,gene,3164468,3166207,.,-,.,SO_RS14160,Gene,protein_coding,SO_RS14160,SO_3052,,,
71,SO_RS00070,292.4410177,0.741588651,0.157080755,4.721066256,2.35E-06,0.000130547,LB_1_logFC,NC_004347.2,RefSeq,gene,15180,17246,.,-,.,glyS,Gene,protein_coding,SO_RS00070,SO_0014,,,
72,SO_RS08690,373.3406521,0.462870347,0.097996771,4.723322428,2.32E-06,0.000130547,LB_1_logFC,NC_004347.2,RefSeq,gene,1975530,1976627,.,+,.,bamC,Gene,protein_coding,SO_RS08690,SO_1880,,,
73,SO_RS17280,83.79817814,0.475467819,0.100672632,4.722910406,2.32E-06,0.000130547,LB_1_logFC,NC_004347.2,RefSeq,gene,3854430,3855215,.,+,.,SO_RS17280,Gene,protein_coding,SO_RS17280,SO_3705,,,
74,SO_RS04105,488.414952,0.347937521,0.073754003,4.717540841,2.39E-06,0.000131034,LB_1_logFC,NC_004347.2,RefSeq,gene,904132,904575,.,-,.,dksA,Gene,protein_coding,SO_RS04105,SO_0874,,,
75,SO_RS02830,144.5918768,-0.316983887,0.067335159,-4.707553832,2.51E-06,0.000133996,LB_1_logFC,NC_004347.2,RefSeq,gene,620770,620845,.,+,.,SO_RS02830,Gene,tRNA,SO_RS02830,SO_t012,,,
76,SO_RS08485,126.3738872,0.651491813,0.138350726,4.708987318,2.49E-06,0.000133996,LB_1_logFC,NC_004347.2,RefSeq,gene,1936505,1937401,.,-,.,SO_RS08485,Gene,protein_coding,SO_RS08485,SO_1846,,,
77,SO_RS16480,235.3081492,-0.287470886,0.061262054,-4.692478769,2.70E-06,0.000142389,LB_1_logFC,NC_004347.2,RefSeq,gene,3681691,3682152,.,-,.,SO_RS16480,Gene,protein_coding,SO_RS16480,SO_3526,,,
78,SO_RS16235,349.2190997,0.319154332,0.068114194,4.68557745,2.79E-06,0.000145384,LB_1_logFC,NC_004347.2,RefSeq,gene,3617483,3619150,.,+,.,ettA,Gene,protein_coding,SO_RS16235,SO_3472,,,
79,SO_RS13820,130.5784653,0.676383295,0.144678011,4.675093948,2.94E-06,0.000151075,LB_1_logFC,NC_004347.2,RefSeq,gene,3108003,3108602,.,-,.,Lambda_40,Gene,protein_coding,SO_RS13820,SO_2979,,,
80,SO_RS05440,351.287241,0.188812297,0.040718677,4.636994924,3.54E-06,0.000179495,LB_1_logFC,NC_004347.2,RefSeq,gene,1221180,1222055,.,-,.,corC,Gene,protein_coding,SO_RS05440,SO_1178,,,
81,SO_RS13095,131.2824675,-0.317268434,0.068537913,-4.629093893,3.67E-06,0.000184179,LB_1_logFC,NC_004347.2,RefSeq,gene,2946916,2947287,.,+,.,SO_RS13095,Gene,protein_coding,SO_RS13095,SO_2827,,,
82,SO_RS10290,216.5439169,0.324977398,0.070476857,4.611122146,4.01E-06,0.000196004,LB_1_logFC,NC_004347.2,RefSeq,gene,2355823,2357460,.,-,.,SO_RS10290,Gene,protein_coding,SO_RS10290,SO_2240,,,
83,SO_RS13990,303.3285362,-0.216119133,0.046862517,-4.611769599,3.99E-06,0.000196004,LB_1_logFC,NC_004347.2,RefSeq,gene,3128013,3128633,.,-,.,SO_RS13990,Gene,protein_coding,SO_RS13990,SO_3016,,,
84,SO_RS19870,286.6414616,-0.328829842,0.071497268,-4.599194519,4.24E-06,0.000205096,LB_1_logFC,NC_004347.2,RefSeq,gene,4465826,4466653,.,-,.,SO_RS19870,Gene,protein_coding,SO_RS19870,SO_4286,,,
85,SO_RS06130,51.08302647,0.539099757,0.117359988,4.593556682,4.36E-06,0.000208239,LB_1_logFC,NC_004347.2,RefSeq,gene,1375959,1376669,.,-,.,SO_RS06130,Gene,protein_coding,SO_RS06130,SO_1322,,,
86,SO_RS08055,196.8868319,0.478188934,0.104257365,4.58662018,4.50E-06,0.000212773,LB_1_logFC,NC_004347.2,RefSeq,gene,1838641,1839114,.,+,.,SO_RS08055,Gene,protein_coding,SO_RS08055,SO_1757,,,
87,SO_RS05645,412.3532482,0.441808715,0.096805294,4.563890006,5.02E-06,0.000231785,LB_1_logFC,NC_004347.2,RefSeq,gene,1258115,1259695,.,+,.,prfC,Gene,protein_coding,SO_RS05645,SO_1211,,,
88,SO_RS21765,146.2614548,-0.249050559,0.054562742,-4.564480295,5.01E-06,0.000231785,LB_1_logFC,NC_004347.2,RefSeq,gene,4881333,4882403,.,-,.,SO_RS21765,Gene,protein_coding,SO_RS21765,SO_4682,,,
89,SO_RS11990,256.3612214,0.367413268,0.080645704,4.555893872,5.22E-06,0.000238076,LB_1_logFC,NC_004347.2,RefSeq,gene,2739271,2739729,.,-,.,SO_RS11990,Gene,protein_coding,SO_RS11990,SO_2603,,,
90,SO_RS04365,837.1142952,0.393553244,0.086475098,4.551058681,5.34E-06,0.000240907,LB_1_logFC,NC_004347.2,RefSeq,gene,959616,961610,.,+,.,tkt,Gene,protein_coding,SO_RS04365,SO_0930,,,
91,SO_RS02800,117.553624,0.476267237,0.105233446,4.525816229,6.02E-06,0.00026442,LB_1_logFC,NC_004347.2,RefSeq,gene,617296,618174,.,-,.,psd,Gene,protein_coding,SO_RS02800,SO_0590,,,
92,SO_RS07710,61.20443333,0.433919144,0.095904387,4.524497324,6.05E-06,0.00026442,LB_1_logFC,NC_004347.2,RefSeq,gene,1757911,1758561,.,+,.,maiA,Gene,protein_coding,SO_RS07710,SO_1671,,,
93,SO_RS17575,348.7144275,0.419935463,0.092760503,4.527093425,5.98E-06,0.00026442,LB_1_logFC,NC_004347.2,RefSeq,gene,3920002,3921291,.,+,.,SO_RS17575,Gene,protein_coding,SO_RS17575,SO_3771,,,
94,SO_RS18155,156.5778769,-0.319488001,0.070777924,-4.513949893,6.36E-06,0.000272932,LB_1_logFC,NC_004347.2,RefSeq,gene,4048814,4049389,.,-,.,SO_RS18155,Gene,protein_coding,SO_RS18155,SO_3900,,,
95,SO_RS22865,1657.318577,-0.389859931,0.086380579,-4.513282197,6.38E-06,0.000272932,LB_1_logFC,NC_004349.1,RefSeq,gene,146804,147193,.,-,.,SO_RS22865,Gene,protein_coding,SO_RS22865,SO_A0158,,,
96,SO_RS08490,150.2694515,0.592373741,0.131370413,4.509186849,6.51E-06,0.000275355,LB_1_logFC,NC_004347.2,RefSeq,gene,1937412,1938170,.,-,.,SO_RS08490,Gene,protein_coding,SO_RS08490,SO_1848,,,
97,SO_RS22855,1165.821033,-0.350774206,0.077956226,-4.499630406,6.81E-06,0.000285059,LB_1_logFC,NC_004349.1,RefSeq,gene,145735,146172,.,-,.,SO_RS22855,Gene,protein_coding,SO_RS22855,SO_A0156,,,
98,SO_RS01660,91.20251184,0.405342025,0.090366613,4.485528566,7.27E-06,0.000301473,LB_1_logFC,NC_004347.2,RefSeq,gene,353751,354692,.,-,.,SO_RS01660,Gene,protein_coding,SO_RS01660,SO_0347,,,
99,SO_RS13870,209.6528386,0.535818435,0.119519858,4.483091309,7.36E-06,0.000301858,LB_1_logFC,NC_004347.2,RefSeq,gene,3113308,3113535,.,-,.,Lambda_49_Cro,Gene,protein_coding,SO_RS13870,SO_2989,,,
100,SO_RS16605,232.1903741,-0.374500403,0.083897306,-4.463795358,8.05E-06,0.000327074,LB_1_logFC,NC_004347.2,RefSeq,gene,3710432,3712186,.,+,.,dauA,Gene,protein_coding,SO_RS16605,SO_3553,,,
101,SO_RS12640,55.35385806,0.452616248,0.101651964,4.452607035,8.48E-06,0.000341184,LB_1_logFC,NC_004347.2,RefSeq,gene,2855715,2856767,.,-,.,bioB,Gene,protein_coding,SO_RS12640,SO_2740,,,
102,SO_RS11360,279.5895068,0.450593322,0.101352846,4.445788537,8.76E-06,0.000345932,LB_1_logFC,NC_004347.2,RefSeq,gene,2597000,2598187,.,+,.,SO_RS11360,Gene,protein_coding,SO_RS11360,SO_2476,,,
103,SO_RS16230,509.5157732,0.66211415,0.148942787,4.445426072,8.77E-06,0.000345932,LB_1_logFC,NC_004347.2,RefSeq,gene,3616039,3617292,.,-,.,SO_RS16230,Gene,protein_coding,SO_RS16230,SO_3471,,,
104,SO_RS22205,79.83883387,0.684348616,0.154067453,4.441876618,8.92E-06,0.000348307,LB_1_logFC,NC_004349.1,RefSeq,gene,11335,11739,.,-,.,umuD,Gene,protein_coding,SO_RS22205,SO_A0013,,,
105,SO_RS18160,438.2111071,-0.338994322,0.07658406,-4.426434461,9.58E-06,0.000370623,LB_1_logFC,NC_004347.2,RefSeq,gene,4049416,4050252,.,-,.,cpdA,Gene,protein_coding,SO_RS18160,SO_3901,,,
106,SO_RS13950,97.96442709,1.150496549,0.260196315,4.421648129,9.80E-06,0.000375355,LB_1_logFC,NC_004347.2,RefSeq,gene,3123707,3124120,.,+,.,Lambda_66,Gene,protein_coding,SO_RS13950,SO_3008,,,
107,SO_RS07515,164.3048923,0.282014274,0.063973733,4.408282275,1.04E-05,0.000395547,LB_1_logFC,NC_004347.2,RefSeq,gene,1710310,1711107,.,-,.,map,Gene,protein_coding,SO_RS07515,SO_1627,,,
108,SO_RS01625,248.0746933,0.355707265,0.081075206,4.387374165,1.15E-05,0.00042839,LB_1_logFC,NC_004347.2,RefSeq,gene,340328,341419,.,+,.,SO_RS01625,Gene,protein_coding,SO_RS01625,SO_0340,,,
109,SO_RS16720,150.4998704,-0.258462292,0.058916252,-4.386943907,1.15E-05,0.00042839,LB_1_logFC,NC_004347.2,RefSeq,gene,3745171,3745944,.,-,.,pgeF,Gene,protein_coding,SO_RS16720,SO_3578,,,
110,SO_RS06100,357.8053734,0.508412047,0.116317033,4.370916584,1.24E-05,0.000456887,LB_1_logFC,NC_004347.2,RefSeq,gene,1371202,1372398,.,+,.,SO_RS06100,Gene,protein_coding,SO_RS06100,SO_1315,,,
111,SO_RS16035,172.0583493,0.389328924,0.089428101,4.353541217,1.34E-05,0.000490206,LB_1_logFC,NC_004347.2,RefSeq,gene,3574613,3577183,.,+,.,mutS,Gene,protein_coding,SO_RS16035,SO_3431,,,
112,SO_RS05260,419.3113043,0.343891022,0.079308942,4.33609393,1.45E-05,0.000526018,LB_1_logFC,NC_004347.2,RefSeq,gene,1181770,1182918,.,+,.,carA,Gene,protein_coding,SO_RS05260,SO_1141,,,
113,SO_RS05390,105.5743594,0.532598144,0.123243605,4.321507331,1.55E-05,0.000557058,LB_1_logFC,NC_004347.2,RefSeq,gene,1210703,1212559,.,-,.,mrdA,Gene,protein_coding,SO_RS05390,SO_1168,,,
114,SO_RS16025,137.2074788,0.490934368,0.113940904,4.308675395,1.64E-05,0.000585196,LB_1_logFC,NC_004347.2,RefSeq,gene,3572662,3573084,.,-,.,SO_RS16025,Gene,protein_coding,SO_RS16025,SO_3429,,,
